epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
62,263.059,1.62089,2.30256,1.15908,1.34022,0,0.67874,0.70429,0.74044,0.31283,0.86947,0.64912,0.79393,0.28341,2.03622,2.64933,1.25496,1.9108,0,0.0007922,0.0007922,0.0007922
63,267.109,1.61012,2.18288,1.1223,1.311,0,0.79595,0.75281,0.76083,0.31037,0.79235,0.7364,0.79072,0.28881,2.04699,2.60719,1.17534,1.88487,0,0.0007724,0.0007724,0.0007724
64,271.895,1.64378,2.25694,1.14279,1.38804,0,0.72473,0.68421,0.71536,0.29561,0.80584,0.70175,0.74296,0.25444,2.08916,2.73656,1.19535,1.90005,0,0.0007526,0.0007526,0.0007526
65,276.088,1.66183,2.29173,1.16769,1.42404,0,0.7164,0.6648,0.74815,0.28358,0.73011,0.63158,0.72803,0.25018,2.05483,2.72125,1.22499,1.93616,0,0.0007328,0.0007328,0.0007328
66,280.263,1.54862,2.15861,1.11101,1.34477,0,0.66247,0.68873,0.7835,0.32292,0.67956,0.66667,0.73743,0.27752,1.96534,2.64888,1.11532,1.81834,0,0.000713,0.000713,0.000713
67,285.218,1.69929,2.24728,1.14413,1.34128,0,0.6458,0.6718,0.67882,0.27348,0.70488,0.6705,0.72725,0.26483,2.13495,2.86837,1.24717,1.96763,0,0.0006932,0.0006932,0.0006932
68,289.45,1.74123,2.22087,1.117,1.44511,0,0.74552,0.73684,0.77959,0.33251,0.84887,0.68989,0.78329,0.2782,2.04119,2.76394,1.12821,1.93398,0,0.0006734,0.0006734,0.0006734
69,294.343,1.58748,2.14354,1.052,1.28805,0,0.85879,0.64026,0.75873,0.28339,0.8825,0.65892,0.77514,0.28651,2.14591,2.80087,1.29494,2.00911,0,0.0006536,0.0006536,0.0006536
70,298.396,1.59597,2.15334,1.04254,1.31954,0,0.6774,0.80702,0.79176,0.34652,0.6774,0.80702,0.81013,0.30561,1.94732,2.65407,1.13185,1.82443,0,0.0006338,0.0006338,0.0006338
71,303.365,1.7178,2.23315,1.08354,1.37754,0,0.71172,0.77193,0.76327,0.31436,0.73607,0.75439,0.79877,0.29662,1.98665,2.76642,1.16856,1.86935,0,0.000614,0.000614,0.000614
