frame_idx,file_name,frame,area_px,centroid_y,centroid_x,mean_intensity,max_intensity
117,ch20_URA7_URA8_001-crop3.tif,17,253,68.3043,59.3755,0.0025,0.0032
118,ch20_URA7_URA8_001-crop3.tif,18,268,72.0597,60.7761,0.0025,0.0033
119,ch20_URA7_URA8_001-crop3.tif,19,248,70.9113,60.5081,0.0025,0.0042
120,ch20_URA7_URA8_001-crop3.tif,20,221,71.1086,60.9367,0.0025,0.0039
121,ch20_URA7_URA8_001-crop3.tif,21,268,69.0448,60.3657,0.0025,0.0041
122,ch20_URA7_URA8_001-crop3.tif,22,253,67.1660,60.0119,0.0025,0.0045
123,ch20_URA7_URA8_001-crop3.tif,23,226,65.3186,59.3186,0.0026,0.0047
124,ch20_URA7_URA8_001-crop3.tif,24,230,66.2130,60.4391,0.0026,0.0043
125,ch20_URA7_URA8_001-crop3.tif,25,237,65.9283,58.2152,0.0025,0.0033
126,ch20_URA7_URA8_001-crop3.tif,26,255,69.6706,59.0588,0.0025,0.0036
127,ch20_URA7_URA8_001-crop3.tif,27,242,69.9050,57.2314,0.0025,0.0038
128,ch20_URA7_URA8_001-crop3.tif,28,226,72.8363,58.4867,0.0025,0.0033
129,ch20_URA7_URA8_001-crop3.tif,29,252,72.2183,56.2619,0.0025,0.0032
130,ch20_URA7_URA8_001-crop3.tif,30,245,71.8939,55.9714,0.0024,0.0032
131,ch20_URA7_URA8_001-crop3.tif,31,223,69.8700,58.8879,0.0026,0.0041
132,ch20_URA7_URA8_001-crop3.tif,32,228,68.5132,59.5439,0.0025,0.0045
133,ch20_URA7_URA8_001-crop3.tif,33,233,67.7682,61.3991,0.0025,0.0032
134,ch20_URA7_URA8_001-crop3.tif,34,236,65.8263,62.2119,0.0025,0.0038
135,ch20_URA7_URA8_001-crop3.tif,35,219,65.7306,61.9132,0.0025,0.0032
136,ch20_URA7_URA8_001-crop3.tif,36,232,67.6422,59.9267,0.0025,0.0032
137,ch20_URA7_URA8_001-crop3.tif,37,222,70.4910,58.2613,0.0025,0.0041
138,ch20_URA7_URA8_001-crop3.tif,38,208,72.8702,57.7981,0.0025,0.0038
139,ch20_URA7_URA8_001-crop3.tif,39,215,71.6512,55.7256,0.0025,0.0037
140,ch20_URA7_URA8_001-crop3.tif,40,263,69.1901,56.3498,0.0024,0.0034
141,ch20_URA7_URA8_001-crop3.tif,41,226,68.0575,57.9027,0.0025,0.0031
142,ch20_URA7_URA8_001-crop3.tif,42,254,64.8425,59.3307,0.0024,0.0030
143,ch20_URA7_URA8_001-crop3.tif,43,216,63.7037,60.8426,0.0024,0.0028
144,ch20_URA7_URA8_001-crop3.tif,44,243,64.2798,58.9671,0.0024,0.0029
145,ch20_URA7_URA8_001-crop3.tif,45,255,64.1765,57.2549,0.0023,0.0028
146,ch20_URA7_URA8_001-crop3.tif,46,280,67.9607,57.7036,0.0024,0.0029
147,ch20_URA7_URA8_001-crop3.tif,47,259,69.9035,56.4479,0.0024,0.0029
148,ch20_URA7_URA8_001-crop3.tif,48,247,68.9109,55.9636,0.0024,0.0030
149,ch20_URA7_URA8_001-crop3.tif,49,271,67.8893,55.5129,0.0024,0.0028
150,ch20_URA7_URA8_002-crop1.tif,0,234,71.9274,59.5299,0.0032,0.0039
151,ch20_URA7_URA8_002-crop1.tif,1,237,70.8945,59.9409,0.0031,0.0038
152,ch20_URA7_URA8_002-crop1.tif,2,104,57.1058,68.1635,0.0028,0.0032
153,ch20_URA7_URA8_002-crop1.tif,3,77,62.5844,58.7662,0.0026,0.0029
154,ch20_URA7_URA8_002-crop1.tif,4,90,67.4889,59.2333,0.0027,0.0032
155,ch20_URA7_URA8_002-crop1.tif,5,84,59.5000,63.8214,0.0027,0.0034
156,ch20_URA7_URA8_002-crop1.tif,6,96,62.7812,63.3125,0.0027,0.0035
157,ch20_URA7_URA8_002-crop1.tif,7,86,64.9535,62.5581,0.0027,0.0034
158,ch20_URA7_URA8_002-crop1.tif,8,98,64.2143,61.6122,0.0027,0.0035
159,ch20_URA7_URA8_002-crop1.tif,9,106,58.2925,67.1132,0.0027,0.0035
160,ch20_URA7_URA8_002-crop1.tif,10,151,54.8411,66.7550,0.0026,0.0032
161,ch20_URA7_URA8_002-crop1.tif,11,111,61.2613,66.7027,0.0027,0.0039
162,ch20_URA7_URA8_002-crop1.tif,12,131,51.5802,76.3817,0.0027,0.0039
163,ch20_URA7_URA8_002-crop1.tif,13,92,55.2065,69.6848,0.0027,0.0042
164,ch20_URA7_URA8_002-crop1.tif,14,87,48.0690,75.3563,0.0025,0.0028
165,ch20_URA7_URA8_002-crop1.tif,15,66,45.5000,79.1970,0.0024,0.0028
166,ch20_URA7_URA8_002-crop1.tif,16,64,49.6094,82.1250,0.0024,0.0027
